company	title	url
Qure.ai	CEO's Office (hiring post, not formal JD)	https://www.linkedin.com/posts/pwarier_im-looking-for-12-people-to-join-me-in-activity-7499064896995790848-h1Aq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo
Pendo	Sr. Product Marketing Manager	https://job-boards.greenhouse.io/pendo/jobs/8558208002
Monolithic Power Systems, Inc.	Product Marketing Manager (Power Modules)	https://www.linkedin.com/jobs/view/4450799653
Intel	Intel Foundry Strategic Marketing	https://www.linkedin.com/jobs/view/4459465025
Seyfarth Shaw LLP	Strategic Pricing Manager	https://www.linkedin.com/jobs/view/4450766612
Happen Bank	Credit Strategy & Pricing Manager	https://www.linkedin.com/jobs/view/4451005189
Turo	Lead Product Manager, Host Pricing	https://www.linkedin.com/jobs/view/4469500460
Affirm	Revenue Operations Lead (San Francisco, CA)	https://www.linkedin.com/jobs/view/4459434906
Affirm	Revenue Operations Lead (San Jose, CA)	https://www.linkedin.com/jobs/view/4459435975
Decagon	Revenue Operations Associate	https://www.linkedin.com/jobs/view/4450772527
Amazon Web Services (AWS)	Specialist Strategy & Sales Operations Lead	https://www.linkedin.com/jobs/view/4460819003
Amazon Web Services (AWS)	Senior Product Manager Technical - External Services, Amazon Aurora	https://www.linkedin.com/jobs/view/4469278176
Warner Bros. Discovery	Senior Product Manager	https://www.linkedin.com/jobs/view/4469298515
Cyngn	Senior Product Manager, Cyngn Insight & Fleet Management	https://www.linkedin.com/jobs/view/4433020234
Zip	Senior Product Manager, AP Automation	https://www.linkedin.com/jobs/view/4432175417
Fivetran	Product Manager - Integrations	https://www.linkedin.com/jobs/view/4433022955
Palo Alto Networks	Sr. Product Manager (Support Copilot)	https://www.linkedin.com/jobs/view/4458428822
Drata	Senior Product Manager	https://www.linkedin.com/jobs/view/4460531302
Column	Product Manager, Platform Tools	https://www.linkedin.com/jobs/view/4424259448
ŌURA	Senior Product Manager, New Experiences	https://www.linkedin.com/jobs/view/4420765422
NVIDIA	Senior Technical Product Manager - DGX Enterprise Infrastructure and Cloud-Native Operations	https://www.linkedin.com/jobs/view/4413840572
6sense	Partner Marketing Manager	https://boards.greenhouse.io/6sense/jobs/8055700?gh_jid=8055700
6sense	Staff Product Manager - Agentic Platform	https://boards.greenhouse.io/6sense/jobs/8188447?gh_jid=8188447
Intercom	Senior Sales Operations Manager	https://job-boards.greenhouse.io/intercom/jobs/8196135
