company	legal_name	title	url	jd_path	track	visa_gate
Blacksmith Agency	Blacksmith Agency	Growth Marketing Manager (Remote, Washington)	https://www.linkedin.com/jobs/view/4470470932	jds/blacksmith-agency-growth-marketing-manager.md	us	required
Sharon McMahon Education	Sharon McMahon Education	Digital Marketing Manager	https://www.linkedin.com/jobs/view/4469041453	jds/sharon-mcmahon-education-digital-marketing-manager.md	us	required
TalentHop	TalentHop	Manager, Demand Generation (B2B)	https://www.linkedin.com/jobs/view/4468929276	jds/talenthop-manager-demand-generation-b2b.md	us	required
KLA	KLA	Sales Operations Analyst	https://www.linkedin.com/jobs/view/4459254827	jds/kla-sales-operations-analyst.md	us	required
EOS IT Solutions	EOS IT Solutions	Sales Operations Associate	https://www.linkedin.com/jobs/view/4469025761	jds/eos-it-solutions-sales-operations-associate.md	us	required
ByteBridge	ByteBridge	Sales Operations Specialist	https://www.linkedin.com/jobs/view/4456776813	jds/bytebridge-sales-operations-specialist.md	us	required
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager- Technical, Amazon WorkSpaces	https://www.linkedin.com/jobs/view/4461238754	jds/aws-product-marketing-manager-technical-workspaces.md	us	required
Freshworks	Freshworks Inc.	Product Marketing Manager, Freshservice Platform	https://www.linkedin.com/jobs/view/4466302657	jds/freshworks-product-marketing-manager-freshservice-platform.md	us	required
TikTok	TikTok	Product Marketing Manager, Audience Measurement	https://www.linkedin.com/jobs/view/4469029957	jds/tiktok-product-marketing-manager-audience-measurement.md	us	required
Metaview	Metaview	Product Marketing Manager	https://www.linkedin.com/jobs/view/4461719472	jds/metaview-product-marketing-manager.md	us	required
NVIDIA	NVIDIA	Product Marketing Manager, CUDA Languages	https://www.linkedin.com/jobs/view/4433430087	jds/nvidia-product-marketing-manager-cuda-languages.md	us	required
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager - Tech, AWS Observability	https://www.linkedin.com/jobs/view/4470482666	jds/aws-product-marketing-manager-tech-observability.md	us	required
Paraform	Paraform	Product Marketing Lead	https://www.linkedin.com/jobs/view/4470496550	jds/paraform-product-marketing-lead.md	us	required
MRI Software	MRI Software LLC	Product Marketing Manager	https://www.linkedin.com/jobs/view/4440832047	jds/mri-software-product-marketing-manager.md	us	required
